,0
0,Arkansas
1,Colorado
2,Connecticut
3,Delaware
4,Georgia
5,Indiana
6,Iowa
7,Kansas
8,Kentucky
9,Louisiana
10,Maine
11,Massachusetts
12,Michigan
13,Minnesota
14,Mississippi
15,Missouri
16,Montana
17,Nebraska
18,Nevada
19,New Hampshire
20,New Mexico
21,North Dakota
22,Oklahoma
23,Oregon
24,Rhode Island
25,South Dakota
26,Tennessee
27,Utah
28,Vermont
29,Virginia
30,West Virginia
31,Wisconsin
32,Wyoming
